PRODUCTID,TYPECODE,CATEGORY,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NAMEID,DESCID,SUPPLIER.PARTNERID,TAXTARIFFCODE,QUANTITYUNIT,WEIGHTMEASURE,WEIGHTUNIT,CURRENCY,PRICE,PRODUCTPICURL,WIDTH,DEPTH,HEIGHT,DIMENSIONUNIT
HT-1000,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000001,1000000002,100000000,1,EA,4.2,KG,EUR,956,/sap/hana/democontent/epmNext/data/images/HT-1000.jpg,0.3,0.18,0.03,M
HT-1001,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000003,1000000004,100000001,1,EA,4.5,KG,EUR,1249,/sap/hana/democontent/epmNext/data/images/HT-1001.jpg,0.29,0.17,0.03,M
HT-1002,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000005,1000000006,100000002,1,EA,4.2,KG,USD,1570,/sap/hana/democontent/epmNext/data/images/HT-1002.jpg,0.28,0.19,0.03,M
HT-1003,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000007,1000000008,100000003,1,EA,4.2,KG,EUR,1650,/sap/hana/democontent/epmNext/data/images/HT-1003.jpg,0.32,0.21,0.04,M
HT-1007,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000009,1000000010,100000004,1,EA,0.2,KG,USD,499,/sap/hana/democontent/epmNext/data/images/HT-1007.jpg,0.32,0.22,0.03,M
HT-1010,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000011,1000000012,100000005,1,EA,4.3,KG,EUR,1999,/sap/hana/democontent/epmNext/data/images/HT-1010.jpg,0.33,0.2,0.03,M
HT-1011,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000013,1000000014,100000006,1,EA,4.1,KG,JPY,2299,/sap/hana/democontent/epmNext/data/images/HT-1011.jpg,0.33,0.23,0.02,M
HT-1020,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000015,1000000016,100000007,1,EA,0.16,KG,EUR,129,/sap/hana/democontent/epmNext/data/images/HT-1020.jpg,0.1,0.02,0.17,M
HT-1021,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000017,1000000018,100000008,1,EA,0.18,KG,MXN,149,/sap/hana/democontent/epmNext/data/images/HT-1021.jpg,0.11,0.02,0.18,M
HT-1022,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000019,1000000020,100000009,1,EA,0.2,KG,ARS,205,/sap/hana/democontent/epmNext/data/images/HT-1022.jpg,0.84,0.02,0.14,M
HT-1023,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000021,1000000022,100000010,1,EA,0.8,KG,USD,239,/sap/hana/democontent/epmNext/data/images/HT-1023.jpg,0.8,0.02,0.13,M
HT-1030,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000023,1000000024,100000011,1,EA,18,KG,EUR,230,/sap/hana/democontent/epmNext/data/images/HT-1030.jpg,0.37,0.12,0.36,M
HT-1031,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000025,1000000026,100000012,1,EA,22,KG,GBP,285,/sap/hana/democontent/epmNext/data/images/HT-1031.jpg,0.41,0.19,0.43,M
HT-1032,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000027,1000000028,100000013,1,EA,21,KG,EUR,345,/sap/hana/democontent/epmNext/data/images/HT-1032.jpg,0.41,0.19,0.43,M
HT-1035,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000029,1000000030,100000014,1,EA,14,KG,USD,399,/sap/hana/democontent/epmNext/data/images/HT-1035.jpg,0.39,0.2,0.41,M
HT-1036,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000031,1000000032,100000015,1,EA,15,KG,CAD,430,/sap/hana/democontent/epmNext/data/images/HT-1036.jpg,0.45,0.26,0.46,M
HT-1037,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000033,1000000034,100000016,1,EA,17,KG,MXN,1430,/sap/hana/democontent/epmNext/data/images/HT-1037.jpg,0.55,0.22,0.39,M
HT-1040,PR,Laser printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000035,1000000036,100000017,1,EA,32,KG,EUR,830,/sap/hana/democontent/epmNext/data/images/HT-1040.jpg,0.51,0.46,0.3,M
HT-1041,PR,Laser printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000037,1000000038,100000018,1,EA,23,KG,ARS,490,/sap/hana/democontent/epmNext/data/images/HT-1041.jpg,0.48,0.42,0.26,M
HT-1042,PR,Laser printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000039,1000000040,100000019,1,EA,15,KG,EUR,349,/sap/hana/democontent/epmNext/data/images/HT-1042.jpg,0.53,0.5,0.65,M
HT-1050,PR,Ink jet printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000041,1000000042,100000020,1,EA,3,KG,RUB,139,/sap/hana/democontent/epmNext/data/images/HT-1050.jpg,0.45,0.34,0.18,M
HT-1051,PR,Ink jet printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000043,1000000044,100000021,1,EA,1.9,KG,USD,99,/sap/hana/democontent/epmNext/data/images/HT-1051.jpg,0.46,0.32,0.25,M
HT-1052,PR,Ink jet printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000045,1000000046,100000022,1,EA,18,KG,EUR,170,/sap/hana/democontent/epmNext/data/images/HT-1052.jpg,0.41,0.42,0.28,M
HT-1055,PR,Multi function printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000047,1000000048,100000023,1,EA,6.3,KG,EUR,99,/sap/hana/democontent/epmNext/data/images/HT-1055.jpg,0.55,0.45,0.29,M
HT-1056,PR,Multi function printers,0000000033,2012-10-03,0000000033,2012-10-03,1000000049,1000000050,100000024,1,EA,4.3,KG,JPY,119,/sap/hana/democontent/epmNext/data/images/HT-1056.jpg,0.51,0.41,0.22,M
HT-1060,PR,Mice,0000000033,2012-10-03,0000000033,2012-10-03,1000000051,1000000052,100000025,1,EA,0.09,KG,EUR,9,/sap/hana/democontent/epmNext/data/images/HT-1060.jpg,0.06,0.15,0.04,M
HT-1061,PR,Mice,0000000033,2012-10-03,0000000033,2012-10-03,1000000053,1000000054,100000026,1,EA,0.09,KG,EUR,7,/sap/hana/democontent/epmNext/data/images/HT-1061.jpg,0.07,0.15,0.03,M
HT-1062,PR,Mice,0000000033,2012-10-03,0000000033,2012-10-03,1000000055,1000000056,100000027,1,EA,0.03,KG,ARS,11,/sap/hana/democontent/epmNext/data/images/HT-1062.jpg,0.07,0.14,0.04,M
HT-1063,PR,Keyboards,0000000033,2012-10-03,0000000033,2012-10-03,1000000057,1000000058,100000028,1,EA,2.1,KG,BRL,14,/sap/hana/democontent/epmNext/data/images/HT-1063.jpg,0.5,0.21,0.04,M
HT-1064,PR,Keyboards,0000000033,2012-10-03,0000000033,2012-10-03,1000000059,1000000060,100000029,1,EA,1.8,KG,CAD,16,/sap/hana/democontent/epmNext/data/images/HT-1064.jpg,0.52,0.25,0.03,M
HT-1065,PR,Keyboards,0000000033,2012-10-03,0000000033,2012-10-03,1000000061,1000000062,100000030,1,EA,2.3,KG,CHF,26,/sap/hana/democontent/epmNext/data/images/HT-1065.jpg,0.51,0.23,0.04,M
HT-1066,PR,High Tech,0000000033,2012-10-03,0000000033,2012-10-03,1000000063,1000000064,100000031,1,EA,80,G,USD,2.5,/sap/hana/democontent/epmNext/data/images/HT-1066.jpg,0.3,0.3,0.01,M
HT-1067,PR,High Tech,0000000033,2012-10-03,0000000033,2012-10-03,1000000065,1000000066,100000032,1,EA,150,G,EUR,3.5,/sap/hana/democontent/epmNext/data/images/HT-1067.jpg,0.28,0.22,0,M
HT-1068,PR,High Tech,0000000033,2012-10-03,0000000033,2012-10-03,1000000067,1000000068,100000033,1,EA,150,G,USD,3.5,/sap/hana/democontent/epmNext/data/images/HT-1068.jpg,0.24,0.24,0.01,M
HT-1069,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000069,1000000070,100000034,1,EA,170,G,JPY,800,/sap/hana/democontent/epmNext/data/images/HT-1069.jpg,0.32,0,0.23,M
HT-1070,PR,Graphic cards,0000000033,2012-10-03,0000000033,2012-10-03,1000000071,1000000072,100000035,1,EA,0.01,KG,ARS,70.9,/sap/hana/democontent/epmNext/data/images/HT-1070.jpg,0.15,0.18,0.05,M
HT-1071,PR,Graphic cards,0000000033,2012-10-03,0000000033,2012-10-03,1000000073,1000000074,100000036,1,EA,0.012,KG,ZAR,81.7,/sap/hana/democontent/epmNext/data/images/HT-1071.jpg,0.14,0.18,0.04,M
HT-1072,PR,Graphic cards,0000000033,2012-10-03,0000000033,2012-10-03,1000000075,1000000076,100000037,1,EA,0.013,KG,USD,101.2,/sap/hana/democontent/epmNext/data/images/HT-1072.jpg,0.15,0.17,0.03,M
HT-1073,PR,Graphic cards,0000000033,2012-10-03,0000000033,2012-10-03,1000000077,1000000078,100000038,1,EA,0.01,KG,EUR,24,/sap/hana/democontent/epmNext/data/images/HT-1073.jpg,0.15,0.17,0.04,M
HT-1080,PR,Scanner,0000000033,2012-10-03,0000000033,2012-10-03,1000000079,1000000080,100000039,1,EA,2.3,KG,INR,51,/sap/hana/democontent/epmNext/data/images/HT-1080.jpg,0.34,0.48,0.05,M
HT-1081,PR,Scanner,0000000033,2012-10-03,0000000033,2012-10-03,1000000081,1000000082,100000040,1,EA,2.4,KG,PLN,89,/sap/hana/democontent/epmNext/data/images/HT-1081.jpg,0.31,0.43,0.07,M
HT-1082,PR,Scanner,0000000033,2012-10-03,0000000033,2012-10-03,1000000083,1000000084,100000041,1,EA,3.2,KG,ARS,169,/sap/hana/democontent/epmNext/data/images/HT-1082.jpg,0.33,0.41,0.12,M
HT-1083,PR,Scanner,0000000033,2012-10-03,0000000033,2012-10-03,1000000085,1000000086,100000042,1,EA,3.2,KG,CNY,520,/sap/hana/democontent/epmNext/data/images/HT-1083.jpg,0.35,0.4,0.1,M
HT-1085,PR,Scanner and Printer,0000000033,2012-10-03,0000000033,2012-10-03,1000000087,1000000088,100000043,1,EA,23.2,KG,DKK,1499,/sap/hana/democontent/epmNext/data/images/HT-1085.jpg,0.45,0.42,0.22,M
HT-1090,PR,Speakers,0000000033,2012-10-03,0000000033,2012-10-03,1000000089,1000000090,100000044,1,EA,3,KG,EUR,39,/sap/hana/democontent/epmNext/data/images/HT-1090.jpg,0.12,0.1,0.16,M
HT-1091,PR,Speakers,0000000033,2012-10-03,0000000033,2012-10-03,1000000091,1000000092,100000000,1,EA,1.4,KG,EUR,26,/sap/hana/democontent/epmNext/data/images/HT-1091.jpg,0.13,0.11,0.18,M
HT-1092,PR,Speakers,0000000033,2012-10-03,0000000033,2012-10-03,1000000093,1000000094,100000001,1,EA,2.1,KG,EUR,45,/sap/hana/democontent/epmNext/data/images/HT-1092.jpg,0.12,0.1,0.18,M
HT-1100,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000095,1000000096,100000002,1,EA,1.2,KG,USD,89.9,/sap/hana/democontent/epmNext/data/images/HT-1100.jpg,0.15,0.07,0.21,M
HT-1101,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000097,1000000098,100000003,1,EA,0.8,KG,EUR,79.9,/sap/hana/democontent/epmNext/data/images/HT-1101.jpg,0.14,0.07,0.24,M
HT-1102,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000099,1000000100,100000004,1,EA,0.8,KG,USD,69,/sap/hana/democontent/epmNext/data/images/HT-1102.jpg,0.16,0.06,0.27,M
HT-1103,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000101,1000000102,100000005,1,EA,0.8,KG,EUR,77,/sap/hana/democontent/epmNext/data/images/HT-1103.jpg,0.11,0.03,0.22,M
HT-1104,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000103,1000000104,100000006,1,EA,1.1,KG,JPY,55,/sap/hana/democontent/epmNext/data/images/HT-1104.jpg,0.1,0.03,0.3,M
HT-1105,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000105,1000000106,100000007,1,EA,0.7,KG,EUR,29,/sap/hana/democontent/epmNext/data/images/HT-1105.jpg,0.16,0.04,0.21,M
HT-1106,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000107,1000000108,100000008,1,EA,0.9,KG,MXN,34,/sap/hana/democontent/epmNext/data/images/HT-1106.jpg,0.18,0.04,0.23,M
HT-1107,PR,Software,0000000033,2012-10-03,0000000033,2012-10-03,1000000109,1000000110,100000009,1,EA,0.5,KG,ARS,29.9,/sap/hana/democontent/epmNext/data/images/HT-1107.jpg,0.12,0.02,0.19,M
HT-1110,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000111,1000000112,100000010,1,EA,0.03,KG,USD,8.9,/sap/hana/democontent/epmNext/data/images/HT-1110.jpg,0.2,0.08,0.04,M
HT-1111,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000113,1000000114,100000011,1,EA,0.02,KG,EUR,6.9,/sap/hana/democontent/epmNext/data/images/HT-1111.jpg,0.31,0.09,0.07,M
HT-1112,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000115,1000000116,100000012,1,EA,0.5,KG,GBP,39,/sap/hana/democontent/epmNext/data/images/HT-1112.jpg,0.09,0.08,0.01,M
HT-1113,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000117,1000000118,100000013,1,EA,0.2,KG,EUR,2.3,/sap/hana/democontent/epmNext/data/images/HT-1113.jpg,0.18,0.22,0.01,M
HT-1114,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000119,1000000120,100000014,1,EA,1.8,KG,USD,69,/sap/hana/democontent/epmNext/data/images/HT-1114.jpg,0.51,0.19,0.35,M
HT-1115,PR,Hardware,0000000033,2012-10-03,0000000033,2012-10-03,1000000121,1000000122,100000015,1,EA,1.3,KG,CAD,42,/sap/hana/democontent/epmNext/data/images/HT-1115.jpg,0.19,0.18,0.12,M
HT-1116,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000123,1000000124,100000016,1,EA,0.3,KG,MXN,36,/sap/hana/democontent/epmNext/data/images/HT-1116.jpg,0.19,0.21,0.14,M
HT-1117,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000125,1000000126,100000017,1,EA,0.4,KG,EUR,38,/sap/hana/democontent/epmNext/data/images/HT-1117.jpg,0.12,0.24,0.11,M
HT-1118,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000127,1000000128,100000018,1,EA,0.015,KG,ARS,79,/sap/hana/democontent/epmNext/data/images/HT-1118.jpg,0.02,0.09,0.01,M
HT-1120,PR,Input device,0000000033,2012-10-03,0000000033,2012-10-03,1000000129,1000000130,100000019,1,EA,1,KG,EUR,260,/sap/hana/democontent/epmNext/data/images/HT-1120.jpg,0.45,0.19,0.03,M
HT-1137,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000131,1000000132,100000020,1,EA,18,KG,RUB,1230,/sap/hana/democontent/epmNext/data/images/HT-1137.jpg,0.54,0.22,0.38,M
HT-1138,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000133,1000000134,100000021,1,EA,4.2,KG,USD,1211,/sap/hana/democontent/epmNext/data/images/HT-1138.jpg,0.53,0.2,0.44,M
HT-1210,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000135,1000000136,100000022,1,EA,2.3,KG,EUR,2399,/sap/hana/democontent/epmNext/data/images/HT-1210.jpg,0.28,0.31,0.43,M
HT-1500,PR,Workstation ensemble,0000000033,2012-10-03,0000000033,2012-10-03,1000000137,1000000138,100000023,1,EA,18,KG,EUR,5000,/sap/hana/democontent/epmNext/data/images/HT-1500.jpg,0.34,0.35,0.23,M
HT-1501,PR,Workstation ensemble,0000000033,2012-10-03,0000000033,2012-10-03,1000000139,1000000140,100000024,1,EA,25,KG,JPY,15000,/sap/hana/democontent/epmNext/data/images/HT-1501.jpg,0.29,0.3,0.27,M
HT-1502,PR,Workstation ensemble,0000000033,2012-10-03,0000000033,2012-10-03,1000000141,1000000142,100000025,1,EA,35,KG,EUR,25000,/sap/hana/democontent/epmNext/data/images/HT-1502.jpg,0.22,0.27,0.37,M
HT-6130,PR,Flat-screen television,0000000033,2012-10-03,0000000033,2012-10-03,1000000143,1000000144,100000026,1,EA,2.6,KG,EUR,1459,/sap/hana/democontent/epmNext/data/images/HT-6130.jpg,0.78,0.22,0.55,M
HT-6131,PR,Flat-screen television,0000000033,2012-10-03,0000000033,2012-10-03,1000000145,1000000146,100000027,1,EA,2.2,KG,ARS,1199,/sap/hana/democontent/epmNext/data/images/HT-6131.jpg,0.99,0.26,0.61,M
HT-6132,PR,Flat-screen television,0000000033,2012-10-03,0000000033,2012-10-03,1000000147,1000000148,100000028,1,EA,1.8,KG,BRL,899,/sap/hana/democontent/epmNext/data/images/HT-6132.jpg,1.28,0.23,0.79,M
HT-7030,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000149,1000000150,100000029,1,EA,0.5,KG,CAD,2490,/sap/hana/democontent/epmNext/data/images/HT-7030.jpg,0.09,0.15,0.1,M
HT-7020,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000151,1000000152,100000030,1,EA,0.5,KG,CHF,1490,/sap/hana/democontent/epmNext/data/images/HT-7030.jpg,0.07,0.16,0.11,M
HT-7010,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000153,1000000154,100000031,1,EA,0.5,KG,USD,799,/sap/hana/democontent/epmNext/data/images/HT-7010.jpg,0.07,0.15,0.13,M
HT-7000,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000155,1000000156,100000032,1,EA,0.5,KG,EUR,549,/sap/hana/democontent/epmNext/data/images/HT-7000.jpg,0.08,0.13,0.12,M
HT-1095,PR,Headset,0000000033,2012-10-03,0000000033,2012-10-03,1000000157,1000000158,100000033,1,EA,187,G,USD,160,/sap/hana/democontent/epmNext/data/images/HT-1095.jpg,0.24,0.02,0.23,M
HT-1096,PR,Headset,0000000033,2012-10-03,0000000033,2012-10-03,1000000159,1000000160,100000034,1,EA,130,G,JPY,120,/sap/hana/democontent/epmNext/data/images/HT-1096.jpg,0.25,0.02,0.19,M
HT-1097,PR,Headset,0000000033,2012-10-03,0000000033,2012-10-03,1000000161,1000000162,100000035,1,EA,60,G,ARS,56,/sap/hana/democontent/epmNext/data/images/HT-1097.jpg,0.21,0.02,0.2,M
HT-6123,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000163,1000000164,100000036,1,EA,267,G,ZAR,299,/sap/hana/democontent/epmNext/data/images/HT-6123.jpg,0.13,0.02,0.14,M
HT-6122,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000165,1000000166,100000037,1,EA,266,G,USD,167,/sap/hana/democontent/epmNext/data/images/HT-6122.jpg,0.08,0.02,0.08,M
HT-6121,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000167,1000000168,100000038,1,EA,134,G,EUR,63,/sap/hana/democontent/epmNext/data/images/HT-6121.jpg,0.05,0.01,0.09,M
HT-6120,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000169,1000000170,100000039,1,EA,134,G,INR,45,/sap/hana/democontent/epmNext/data/images/HT-6120.jpg,0.05,0.02,0.06,M
HT-6111,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000171,1000000172,100000040,1,EA,3.1,KG,PLN,288,/sap/hana/democontent/epmNext/data/images/HT-6111.jpg,0.38,0.26,0.06,M
HT-6110,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000173,1000000174,100000041,1,EA,2.4,KG,ARS,130,/sap/hana/democontent/epmNext/data/images/HT-6110.jpg,0.37,0.24,0.06,M
HT-6102,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000175,1000000176,100000042,1,EA,2.5,KG,CNY,889,/sap/hana/democontent/epmNext/data/images/HT-6102.jpg,0.3,0.23,0.23,M
HT-6101,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000177,1000000178,100000043,1,EA,2,KG,DKK,679,/sap/hana/democontent/epmNext/data/images/HT-6101.jpg,0.32,0.21,0.18,M
HT-2002,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000179,1000000180,100000044,1,EA,0.72,KG,EUR,853.99,/sap/hana/democontent/epmNext/data/images/HT-2002.JPG,0.21,0.17,0.14,M
HT-6100,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000181,1000000182,100000000,1,EA,1.7,KG,EUR,469,/sap/hana/democontent/epmNext/data/images/HT-6100.jpg,0.18,0.15,0.12,M
HT-2027,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000183,1000000184,100000001,1,EA,0.15,KG,EUR,24.99,/sap/hana/democontent/epmNext/data/images/HT-2027.jpg,0.06,0,0.02,M
HT-2026,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000185,1000000186,100000002,1,EA,0.2,KG,USD,29.99,/sap/hana/democontent/epmNext/data/images/HT-2026.jpg,0.21,0.1,0.13,M
HT-2025,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000187,1000000188,100000003,1,EA,0.65,KG,EUR,44.99,/sap/hana/democontent/epmNext/data/images/HT-2025.jpg,0.67,0.23,0.25,M
HT-2001,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000189,1000000190,100000004,1,EA,0.84,KG,USD,449.99,/sap/hana/democontent/epmNext/data/images/HT-2001.JPG,0.24,0.2,0.29,M
HT-2000,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000191,1000000192,100000005,1,EA,0.79,KG,EUR,249.99,/sap/hana/democontent/epmNext/data/images/HT-2000.JPG,0.21,0.19,0.28,M
HT-1603,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000193,1000000194,100000006,1,EA,6.8,KG,JPY,1700,/sap/hana/democontent/epmNext/data/images/HT-1601.jpg,0.27,0.28,0.42,M
HT-1602,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000195,1000000196,100000007,1,EA,5.9,KG,EUR,1200,/sap/hana/democontent/epmNext/data/images/HT-1602.jpg,0.27,0.34,0.47,M
HT-1601,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000197,1000000198,100000008,1,EA,5.3,KG,MXN,900,/sap/hana/democontent/epmNext/data/images/HT-1601.jpg,0.25,0.32,0.4,M
HT-1600,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000199,1000000200,100000009,1,EA,4.8,KG,ARS,600,/sap/hana/democontent/epmNext/data/images/HT-1600.jpg,0.21,0.29,0.38,M
HT-1119,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000201,1000000202,100000010,1,EA,88,G,USD,79,/sap/hana/democontent/epmNext/data/images/HT-1119.jpg,0.02,0.03,0.04,M
HT-8000,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000203,1000000204,100000011,1,EA,4,KG,EUR,799,/sap/hana/democontent/epmNext/data/images/HT-8000.jpg,0.31,0.19,0.03,M
HT-8001,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000205,1000000206,100000012,1,EA,4.2,KG,GBP,999,/sap/hana/democontent/epmNext/data/images/HT-8001.jpg,0.32,0.2,0.03,M
HT-8002,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000207,1000000208,100000013,1,EA,3.5,KG,EUR,1199,/sap/hana/democontent/epmNext/data/images/HT-8002.jpg,0.38,0.21,0.04,M
HT-8003,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000209,1000000210,100000014,1,EA,3.8,KG,USD,1388,/sap/hana/democontent/epmNext/data/images/HT-8003.jpg,0.48,0.31,0.05,M
AD-1000,AD,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000211,1000000212,100000015,1,EA,0.01,KG,CAD,0,/sap/hana/democontent/epmNext/data/images/AD-1000.jpg,0.46,0.3,0.03,M
