SALESORDERID,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NOTEID,PARTNER.PARTNERID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500000000,24,2015-01-01,1,2015-01-15,,100000000,EUR,26581.03,22337,4244.03,X,I,I
500000001,32,2015-01-02,20,2015-01-16,,100000002,EUR,9417.66,7914,1503.66,N,I,I
500000002,5,2015-01-03,6,2015-01-17,,100000005,EUR,5631.08,4732,899.08,P,I,D
500000003,33,2015-01-04,19,2015-01-18,,100000006,EUR,1405.39,1181,224.39,N,I,I
500000004,22,2015-01-05,28,2015-01-19,,100000006,EUR,761.24,639.7,121.54,C,P,D
500000005,6,2015-01-06,23,2015-01-20,,100000008,EUR,101299.22,85125.4,16173.82,X,I,I
500000006,6,2015-01-07,5,2015-01-21,,100000003,EUR,250.73,210.7,40.03,X,I,I
500000007,21,2015-01-08,13,2015-01-22,,100000004,EUR,10549.35,8865,1684.35,C,P,D
500000008,13,2015-01-09,5,2015-01-23,,100000009,EUR,195.16,164,31.16,X,I,I
500000009,31,2015-01-10,22,2015-01-24,,100000000,EUR,3972.22,3338,634.22,P,P,I
500000010,23,2015-01-11,2,2015-01-25,,100000002,EUR,3598.92,3024.3,574.62,N,I,I
500000011,2,2015-01-12,27,2015-01-26,,100000004,EUR,325.94,273.9,52.04,P,P,I
500000012,26,2015-01-13,5,2015-01-27,,100000005,EUR,24395,20500,3895,P,I,D
500000013,19,2015-01-14,2,2015-01-28,,100000006,EUR,5527.55,4645,882.55,P,I,D
500000014,6,2015-01-15,8,2015-01-29,,100000006,EUR,3459.33,2907,552.33,P,I,I
500000015,23,2015-01-16,19,2015-01-30,,100000008,EUR,852.04,716,136.04,X,I,I
500000016,26,2015-01-17,20,2015-01-31,,100000004,EUR,1916.5,1610.5,306,N,I,I
500000017,31,2015-01-18,9,2015-02-01,,100000005,EUR,178.14,149.7,28.44,P,P,D
500000018,3,2015-01-19,17,2015-02-02,,100000002,EUR,871.55,732.4,139.15,C,P,D
500000019,12,2015-01-20,31,2015-02-03,,100000009,EUR,1028.15,864,164.15,N,I,I
500000020,18,2015-01-21,17,2015-02-04,,100000000,EUR,5523.38,4641.5,881.88,N,I,I
500000021,6,2015-01-22,9,2015-02-05,,100000002,EUR,187.54,157.6,29.94,P,P,D
500000022,18,2015-01-23,13,2015-02-06,,100000006,EUR,521.22,438,83.22,N,I,I
500000023,32,2015-01-24,32,2015-02-07,,100000008,EUR,411.5,345.8,65.7,C,P,D
500000024,24,2015-01-25,18,2015-02-08,,100000005,EUR,11552.52,9708,1844.52,P,P,D
500000025,18,2015-01-26,15,2015-02-09,,100000003,EUR,26581.03,22337,4244.03,C,P,D
500000026,14,2015-01-27,28,2015-02-10,,100000003,EUR,9417.66,7914,1503.66,N,I,I
500000027,17,2015-01-28,14,2015-02-11,,100000003,EUR,5631.08,4732,899.08,C,P,D
500000028,16,2015-01-29,28,2015-02-12,,100000008,EUR,1405.39,1181,224.39,C,P,D
500000029,27,2015-01-30,23,2015-02-13,,100000004,EUR,761.24,639.7,121.54,N,I,I
500000030,32,2015-01-31,26,2015-02-14,,100000006,EUR,101299.22,85125.4,16173.82,P,I,D
500000031,30,2015-02-01,17,2015-02-15,,100000004,EUR,250.73,210.7,40.03,C,P,D
500000032,31,2015-02-02,29,2015-02-16,,100000006,EUR,10549.35,8865,1684.35,N,I,I
500000033,5,2015-02-03,31,2015-02-17,,100000009,EUR,195.16,164,31.16,N,I,I
500000034,26,2015-02-04,1,2015-02-18,,100000000,EUR,107100,90000,17100,N,I,I
500000035,2,2015-02-05,12,2015-02-19,,100000002,EUR,4415.73,3710.7,705.03,P,P,I
500000036,13,2015-02-06,23,2015-02-20,,100000003,EUR,325.94,273.9,52.04,X,I,I
500000037,12,2015-02-07,7,2015-02-21,,100000005,EUR,24220.07,20353,3867.07,P,P,D
500000038,27,2015-02-08,32,2015-02-22,,100000006,EUR,4499.87,3781.4,718.47,C,P,D
500000039,15,2015-02-09,31,2015-02-23,,100000006,EUR,2727.24,2291.8,435.44,C,P,D
500000040,27,2015-02-10,5,2015-02-24,,100000008,EUR,530.62,445.9,84.72,N,I,I
500000041,7,2015-02-11,21,2015-02-25,,100000004,EUR,803.25,675,128.25,C,P,D
500000042,15,2015-02-12,8,2015-02-26,,100000002,EUR,178.14,149.7,28.44,X,I,I
500000043,6,2015-02-13,17,2015-02-27,,100000005,EUR,871.55,732.4,139.15,P,P,D
500000044,27,2015-02-14,32,2015-02-28,,100000009,EUR,6543.8,5499,1044.8,C,P,D
500000045,3,2015-02-15,20,2015-02-28,,100000000,EUR,113032.74,94985.5,18047.24,C,P,D
500000046,15,2015-02-16,23,2015-03-01,,100000002,EUR,114.24,96,18.24,X,I,I
500000047,11,2015-02-17,10,2015-03-02,,100000008,EUR,521.22,438,83.22,C,P,D
500000048,16,2015-02-18,29,2015-03-03,,100000006,EUR,411.5,345.8,65.7,C,P,D
500000049,33,2015-02-19,8,2015-03-04,,100000005,EUR,11379.97,9563,1816.97,N,I,I
500000050,28,2015-02-20,29,2015-03-05,,100000026,EUR,26581.03,22337,4244.03,N,I,I
500000051,17,2015-02-21,30,2015-03-06,,100000025,EUR,9417.66,7914,1503.66,C,P,D
500000052,11,2015-02-22,19,2015-03-07,,100000022,EUR,5631.08,4732,899.08,X,I,I
500000053,14,2015-02-23,27,2015-03-08,,100000024,EUR,1405.39,1181,224.39,C,P,D
500000054,6,2015-02-24,3,2015-03-09,,100000024,EUR,761.24,639.7,121.54,P,I,I
500000055,6,2015-02-25,6,2015-03-10,,100000021,EUR,101299.22,85125.4,16173.82,C,P,D
500000056,19,2015-02-26,22,2015-03-11,,100000023,EUR,250.73,210.7,40.03,C,P,D
500000057,1,2015-02-27,17,2015-03-12,,100000019,EUR,10549.35,8865,1684.35,N,I,I
500000058,13,2015-02-28,24,2015-03-13,,100000026,EUR,195.16,164,31.16,X,I,I
500000059,31,2015-02-28,30,2015-03-14,,100000026,EUR,3972.22,3338,634.22,P,I,D
500000060,31,2015-03-01,11,2015-03-15,,100000025,EUR,3598.92,3024.3,574.62,P,P,I
500000061,23,2015-03-02,16,2015-03-16,,100000019,EUR,325.94,273.9,52.04,C,P,D
500000062,4,2015-03-03,28,2015-03-17,,100000022,EUR,24395,20500,3895,N,I,I
500000063,17,2015-03-04,23,2015-03-18,,100000024,EUR,5527.55,4645,882.55,P,I,D
500000064,12,2015-03-05,11,2015-03-19,,100000024,EUR,3459.33,2907,552.33,N,I,I
500000065,25,2015-03-06,22,2015-03-20,,100000021,EUR,852.04,716,136.04,C,P,D
500000066,19,2015-03-07,31,2015-03-21,,100000019,EUR,1916.5,1610.5,306,N,I,I
500000067,17,2015-03-08,14,2015-03-22,,100000022,EUR,178.14,149.7,28.44,C,P,D
500000068,19,2015-03-09,16,2015-03-23,,100000025,EUR,871.55,732.4,139.15,P,P,I
500000069,11,2015-03-10,29,2015-03-24,,100000026,EUR,1028.15,864,164.15,N,I,I
500000070,4,2015-03-11,17,2015-03-25,,100000026,EUR,5523.38,4641.5,881.88,X,I,I
500000071,22,2015-03-12,23,2015-03-26,,100000025,EUR,187.54,157.6,29.94,N,I,I
500000072,19,2015-03-13,16,2015-03-27,,100000024,EUR,521.22,438,83.22,N,I,I
500000073,15,2015-03-14,6,2015-03-28,,100000021,EUR,411.5,345.8,65.7,N,I,I
500000074,3,2015-03-15,30,2015-03-29,,100000022,EUR,11552.52,9708,1844.52,C,P,D
500000075,16,2015-03-16,33,2015-03-30,,100000023,EUR,26581.03,22337,4244.03,X,I,I
500000076,32,2015-03-17,8,2015-03-31,,100000023,EUR,9417.66,7914,1503.66,P,I,D
500000077,2,2015-03-18,21,2015-04-01,,100000023,EUR,5631.08,4732,899.08,C,P,D
500000078,28,2015-03-19,31,2015-04-02,,100000021,EUR,1405.39,1181,224.39,C,P,D
500000079,4,2015-03-20,4,2015-04-03,,100000019,EUR,761.24,639.7,121.54,N,I,I
500000080,29,2015-03-21,1,2015-04-04,,100000024,EUR,101299.22,85125.4,16173.82,P,I,D
500000081,9,2015-03-22,17,2015-04-05,,100000019,EUR,250.73,210.7,40.03,C,P,D
500000082,15,2015-03-23,19,2015-04-06,,100000024,EUR,10549.35,8865,1684.35,N,I,I
500000083,8,2015-03-24,19,2015-04-07,,100000026,EUR,195.16,164,31.16,C,P,D
500000084,28,2015-03-25,26,2015-04-08,,100000026,EUR,107100,90000,17100,C,P,D
500000085,4,2015-03-26,15,2015-04-09,,100000025,EUR,4415.73,3710.7,705.03,X,I,I
500000086,10,2015-03-27,15,2015-04-10,,100000023,EUR,325.94,273.9,52.04,C,P,D
500000087,27,2015-03-28,27,2015-04-11,,100000022,EUR,24220.07,20353,3867.07,X,I,I
500000088,26,2015-03-29,7,2015-04-12,,100000024,EUR,4499.87,3781.4,718.47,P,I,D
500000089,3,2015-03-30,2,2015-04-13,,100000024,EUR,2727.24,2291.8,435.44,N,I,I
500000090,17,2015-03-31,5,2015-04-14,,100000021,EUR,530.62,445.9,84.72,N,I,I
500000091,25,2015-04-01,18,2015-04-15,,100000019,EUR,803.25,675,128.25,N,I,I
500000092,22,2015-04-02,29,2015-04-16,,100000025,EUR,178.14,149.7,28.44,X,I,I
500000093,15,2015-04-03,9,2015-04-17,,100000022,EUR,871.55,732.4,139.15,X,I,I
500000094,29,2015-04-04,31,2015-04-18,,100000026,EUR,6543.8,5499,1044.8,C,P,D
500000095,27,2015-04-05,18,2015-04-19,,100000026,EUR,113032.74,94985.5,18047.24,X,I,I
500000096,26,2015-04-06,29,2015-04-20,,100000025,EUR,114.24,96,18.24,C,P,D
500000097,20,2015-04-07,27,2015-04-21,,100000021,EUR,521.22,438,83.22,P,P,D
500000098,16,2015-04-08,16,2015-04-22,,100000024,EUR,411.5,345.8,65.7,C,P,D
500000099,15,2015-04-09,18,2015-04-23,,100000022,EUR,11379.97,9563,1816.97,X,I,I
500000100,5,2015-04-10,32,2015-04-24,,100000012,EUR,26581.03,22337,4244.03,X,I,I
500000101,1,2015-04-11,21,2015-04-25,,100000011,EUR,9417.66,7914,1503.66,X,I,I
500000102,8,2015-04-12,14,2015-04-26,,100000015,EUR,5631.08,4732,899.08,P,I,I
500000103,6,2015-04-13,28,2015-04-27,,100000013,EUR,1405.39,1181,224.39,N,I,I
500000104,11,2015-04-14,18,2015-04-28,,100000013,EUR,761.24,639.7,121.54,C,P,D
500000105,14,2015-04-15,8,2015-04-29,,100000014,EUR,101299.22,85125.4,16173.82,X,I,I
500000106,29,2015-04-16,23,2015-04-30,,100000016,EUR,250.73,210.7,40.03,C,P,D
500000107,2,2015-04-17,2,2015-05-01,,100000017,EUR,10549.35,8865,1684.35,C,P,D
500000108,3,2015-04-18,23,2015-05-02,,100000018,EUR,195.16,164,31.16,P,I,D
500000109,17,2015-04-19,25,2015-05-03,,100000012,EUR,3972.22,3338,634.22,P,I,I
500000110,23,2015-04-20,2,2015-05-04,,100000011,EUR,3598.92,3024.3,574.62,P,I,D
500000111,5,2015-04-21,12,2015-05-05,,100000017,EUR,325.94,273.9,52.04,N,I,I
500000112,13,2015-04-22,24,2015-05-06,,100000015,EUR,24395,20500,3895,X,I,I
500000113,24,2015-04-23,31,2015-05-07,,100000013,EUR,5527.55,4645,882.55,N,I,I
500000114,32,2015-04-24,12,2015-05-08,,100000013,EUR,3459.33,2907,552.33,X,I,I
500000115,5,2015-04-25,27,2015-05-09,,100000014,EUR,852.04,716,136.04,P,I,I
500000116,22,2015-04-26,14,2015-05-10,,100000017,EUR,1916.5,1610.5,306,N,I,I
500000117,3,2015-04-27,27,2015-05-11,,100000015,EUR,178.14,149.7,28.44,P,P,D
500000118,30,2015-04-28,31,2015-05-12,,100000011,EUR,871.55,732.4,139.15,P,I,D
500000119,29,2015-04-29,9,2015-05-13,,100000018,EUR,1028.15,864,164.15,N,I,I
500000120,28,2015-04-30,7,2015-05-14,,100000012,EUR,5523.38,4641.5,881.88,X,I,I
500000121,22,2015-05-01,14,2015-05-15,,100000011,EUR,187.54,157.6,29.94,X,I,I
500000122,13,2015-05-02,14,2015-05-16,,100000013,EUR,521.22,438,83.22,N,I,I
500000123,27,2015-05-03,9,2015-05-17,,100000014,EUR,411.5,345.8,65.7,X,I,I
500000124,11,2015-05-04,3,2015-05-18,,100000015,EUR,11552.52,9708,1844.52,C,P,D
500000125,13,2015-05-05,4,2015-05-19,,100000016,EUR,26581.03,22337,4244.03,C,P,D
500000126,28,2015-05-06,14,2015-05-20,,100000016,EUR,9417.66,7914,1503.66,C,P,D
500000127,21,2015-05-07,2,2015-05-21,,100000016,EUR,5631.08,4732,899.08,C,P,D
500000128,16,2015-05-08,15,2015-05-22,,100000014,EUR,1405.39,1181,224.39,X,I,I
500000129,28,2015-05-09,21,2015-05-23,,100000017,EUR,761.24,639.7,121.54,C,P,D
500000130,12,2015-05-10,33,2015-05-24,,100000013,EUR,101299.22,85125.4,16173.82,C,P,D
500000131,11,2015-05-11,2,2015-05-25,,100000017,EUR,250.73,210.7,40.03,P,P,D
500000132,32,2015-05-12,2,2015-05-26,,100000013,EUR,10549.35,8865,1684.35,P,I,D
500000133,5,2015-05-13,32,2015-05-27,,100000018,EUR,195.16,164,31.16,C,P,D
500000134,2,2015-05-14,22,2015-05-28,,100000012,EUR,107100,90000,17100,P,P,I
500000135,8,2015-05-15,5,2015-05-29,,100000011,EUR,4415.73,3710.7,705.03,N,I,I
500000136,33,2015-05-16,20,2015-05-30,,100000016,EUR,325.94,273.9,52.04,X,I,I
500000137,24,2015-05-17,31,2015-05-31,,100000015,EUR,24220.07,20353,3867.07,P,I,D
500000138,24,2015-05-18,4,2015-06-01,,100000013,EUR,4499.87,3781.4,718.47,C,P,D
500000139,15,2015-05-19,17,2015-06-02,,100000013,EUR,2727.24,2291.8,435.44,P,P,D
500000140,18,2015-05-20,17,2015-06-03,,100000014,EUR,530.62,445.9,84.72,C,P,D
500000141,18,2015-05-21,1,2015-06-04,,100000017,EUR,803.25,675,128.25,P,I,I
500000142,7,2015-05-22,13,2015-06-05,,100000011,EUR,178.14,149.7,28.44,P,I,D
500000143,10,2015-05-23,30,2015-06-06,,100000015,EUR,871.55,732.4,139.15,P,P,I
500000144,11,2015-05-24,21,2015-06-07,,100000018,EUR,6543.8,5499,1044.8,X,I,I
500000145,2,2015-05-25,12,2015-06-08,,100000012,EUR,113032.74,94985.5,18047.24,P,I,D
500000146,5,2015-05-26,16,2015-06-09,,100000011,EUR,114.24,96,18.24,P,P,I
500000147,24,2015-05-27,9,2015-06-10,,100000014,EUR,521.22,438,83.22,N,I,I
500000148,16,2015-05-28,22,2015-06-11,,100000013,EUR,411.5,345.8,65.7,C,P,D
500000149,19,2015-05-29,2,2015-06-12,,100000015,EUR,11379.97,9563,1816.97,C,P,D
500000150,4,2015-05-30,20,2015-06-13,,100000028,EUR,26581.03,22337,4244.03,P,P,I
500000151,32,2015-05-31,4,2015-06-14,,100000030,EUR,9417.66,7914,1503.66,C,P,D
500000152,1,2015-06-01,17,2015-06-15,,100000031,EUR,5631.08,4732,899.08,N,I,I
500000153,10,2015-06-02,5,2015-06-16,,100000032,EUR,1405.39,1181,224.39,N,I,I
500000154,32,2015-06-03,4,2015-06-17,,100000032,EUR,761.24,639.7,121.54,C,P,D
500000155,12,2015-06-04,4,2015-06-18,,100000033,EUR,101299.22,85125.4,16173.82,C,P,D
500000156,31,2015-06-05,26,2015-06-19,,100000034,EUR,250.73,210.7,40.03,X,I,I
500000157,3,2015-06-06,11,2015-06-20,,100000035,EUR,10549.35,8865,1684.35,X,I,I
500000158,14,2015-06-07,6,2015-06-21,,100000027,EUR,195.16,164,31.16,X,I,I
500000159,7,2015-06-08,14,2015-06-22,,100000028,EUR,3972.22,3338,634.22,P,I,I
500000160,1,2015-06-09,3,2015-06-23,,100000030,EUR,3598.92,3024.3,574.62,X,I,I
500000161,19,2015-06-10,12,2015-06-24,,100000035,EUR,325.94,273.9,52.04,X,I,I
500000162,23,2015-06-11,10,2015-06-25,,100000031,EUR,24395,20500,3895,P,P,I
500000163,12,2015-06-12,11,2015-06-26,,100000032,EUR,5527.55,4645,882.55,C,P,D
500000164,9,2015-06-13,28,2015-06-27,,100000032,EUR,3459.33,2907,552.33,X,I,I
500000165,27,2015-06-14,2,2015-06-28,,100000033,EUR,852.04,716,136.04,X,I,I
500000166,18,2015-06-15,11,2015-06-29,,100000035,EUR,1916.5,1610.5,306,C,P,D
500000167,1,2015-06-16,15,2015-06-30,,100000031,EUR,178.14,149.7,28.44,X,I,I
500000168,31,2015-06-17,12,2015-07-01,,100000030,EUR,871.55,732.4,139.15,N,I,I
500000169,31,2015-06-18,12,2015-07-02,,100000027,EUR,1028.15,864,164.15,N,I,I
500000170,6,2015-06-19,29,2015-07-03,,100000028,EUR,5523.38,4641.5,881.88,C,P,D
500000171,9,2015-06-20,5,2015-07-04,,100000030,EUR,187.54,157.6,29.94,X,I,I
500000172,33,2015-06-21,23,2015-07-05,,100000032,EUR,521.22,438,83.22,P,P,I
500000173,17,2015-06-22,15,2015-07-06,,100000033,EUR,411.5,345.8,65.7,X,I,I
500000174,4,2015-06-23,15,2015-07-07,,100000031,EUR,11552.52,9708,1844.52,C,P,D
500000175,30,2015-06-24,5,2015-07-08,,100000034,EUR,26581.03,22337,4244.03,N,I,I
500000176,7,2015-06-25,8,2015-07-09,,100000034,EUR,9417.66,7914,1503.66,C,P,D
500000177,2,2015-06-26,7,2015-07-10,,100000034,EUR,5631.08,4732,899.08,C,P,D
500000178,15,2015-06-27,28,2015-07-11,,100000033,EUR,1405.39,1181,224.39,P,I,D
500000179,14,2015-06-28,27,2015-07-12,,100000035,EUR,761.24,639.7,121.54,C,P,D
500000180,1,2015-06-29,23,2015-07-13,,100000032,EUR,101299.22,85125.4,16173.82,X,I,I
500000181,18,2015-06-30,3,2015-07-14,,100000035,EUR,250.73,210.7,40.03,C,P,D
500000182,10,2015-07-01,10,2015-07-15,,100000032,EUR,10549.35,8865,1684.35,X,I,I
500000183,29,2015-07-02,8,2015-07-16,,100000027,EUR,195.16,164,31.16,P,I,I
500000184,10,2015-07-03,13,2015-07-17,,100000028,EUR,107100,90000,17100,P,P,D
500000185,2,2015-07-04,15,2015-07-18,,100000030,EUR,4415.73,3710.7,705.03,C,P,D
500000186,32,2015-07-05,15,2015-07-19,,100000034,EUR,325.94,273.9,52.04,N,I,I
500000187,28,2015-07-06,15,2015-07-20,,100000031,EUR,24220.07,20353,3867.07,P,P,I
500000188,12,2015-07-07,18,2015-07-21,,100000032,EUR,4499.87,3781.4,718.47,P,I,D
500000189,23,2015-07-08,2,2015-07-22,,100000032,EUR,2727.24,2291.8,435.44,N,I,I
500000190,11,2015-07-09,14,2015-07-23,,100000033,EUR,530.62,445.9,84.72,P,I,I
500000191,8,2015-07-10,7,2015-07-24,,100000035,EUR,803.25,675,128.25,C,P,D
500000192,22,2015-07-11,21,2015-07-25,,100000030,EUR,178.14,149.7,28.44,P,P,D
500000193,2,2015-07-12,13,2015-07-26,,100000031,EUR,871.55,732.4,139.15,X,I,I
500000194,24,2015-07-13,21,2015-07-27,,100000027,EUR,6543.8,5499,1044.8,C,P,D
500000195,27,2015-07-14,1,2015-07-28,,100000028,EUR,113032.74,94985.5,18047.24,N,I,I
500000196,8,2015-07-15,6,2015-07-29,,100000030,EUR,114.24,96,18.24,C,P,D
500000197,21,2015-07-16,30,2015-07-30,,100000033,EUR,521.22,438,83.22,X,I,I
500000198,9,2015-07-17,25,2015-07-31,,100000032,EUR,411.5,345.8,65.7,P,P,I
500000199,2,2015-07-18,20,2015-08-01,,100000031,EUR,11379.97,9563,1816.97,X,I,I
500000200,11,2015-07-19,10,2015-08-02,,100000044,EUR,26581.03,22337,4244.03,N,I,I
500000201,25,2015-07-20,32,2015-08-03,,100000036,EUR,9417.66,7914,1503.66,N,I,I
500000202,2,2015-07-21,17,2015-08-04,,100000038,EUR,5631.08,4732,899.08,X,I,I
500000203,7,2015-07-22,4,2015-08-05,,100000037,EUR,1405.39,1181,224.39,C,P,D
500000204,26,2015-07-23,1,2015-08-06,,100000037,EUR,761.24,639.7,121.54,P,P,I
500000205,4,2015-07-24,18,2015-08-07,,100000042,EUR,101299.22,85125.4,16173.82,C,P,D
500000206,6,2015-07-25,13,2015-08-08,,100000044,EUR,250.73,210.7,40.03,C,P,D
500000207,7,2015-07-26,10,2015-08-09,,100000041,EUR,10549.35,8865,1684.35,P,P,I
500000208,15,2015-07-27,10,2015-08-10,,100000043,EUR,195.16,164,31.16,P,I,I
500000209,24,2015-07-28,5,2015-08-11,,100000044,EUR,3972.22,3338,634.22,C,P,D
500000210,21,2015-07-29,3,2015-08-12,,100000036,EUR,3598.92,3024.3,574.62,C,P,D
500000211,2,2015-07-30,26,2015-08-13,,100000041,EUR,325.94,273.9,52.04,X,I,I
500000212,22,2015-07-31,18,2015-08-14,,100000038,EUR,24395,20500,3895,C,P,D
500000213,1,2015-08-01,10,2015-08-15,,100000037,EUR,5527.55,4645,882.55,P,I,I
500000214,24,2015-08-02,31,2015-08-16,,100000037,EUR,3459.33,2907,552.33,P,P,D
500000215,3,2015-08-03,1,2015-08-17,,100000042,EUR,852.04,716,136.04,X,I,I
500000216,24,2015-08-04,21,2015-08-18,,100000041,EUR,1916.5,1610.5,306,N,I,I
500000217,3,2015-08-05,8,2015-08-19,,100000038,EUR,178.14,149.7,28.44,X,I,I
500000218,21,2015-08-06,16,2015-08-20,,100000036,EUR,871.55,732.4,139.15,N,I,I
500000219,13,2015-08-07,15,2015-08-21,,100000043,EUR,1028.15,864,164.15,P,I,I
500000220,15,2015-08-08,20,2015-08-22,,100000044,EUR,5523.38,4641.5,881.88,P,I,I
500000221,18,2015-08-09,18,2015-08-23,,100000036,EUR,187.54,157.6,29.94,N,I,I
500000222,30,2015-08-10,28,2015-08-24,,100000037,EUR,521.22,438,83.22,X,I,I
500000223,13,2015-08-11,27,2015-08-25,,100000042,EUR,411.5,345.8,65.7,N,I,I
500000224,21,2015-08-12,2,2015-08-26,,100000038,EUR,11552.52,9708,1844.52,C,P,D
500000225,3,2015-08-13,6,2015-08-27,,100000044,EUR,26581.03,22337,4244.03,X,I,I
500000226,17,2015-08-14,24,2015-08-28,,100000044,EUR,9417.66,7914,1503.66,N,I,I
500000227,21,2015-08-15,33,2015-08-29,,100000044,EUR,5631.08,4732,899.08,X,I,I
500000228,23,2015-08-16,12,2015-08-30,,100000042,EUR,1405.39,1181,224.39,C,P,D
500000229,30,2015-08-17,23,2015-08-31,,100000041,EUR,761.24,639.7,121.54,N,I,I
500000230,24,2015-08-18,11,2015-09-01,,100000037,EUR,101299.22,85125.4,16173.82,X,I,I
500000231,19,2015-08-19,29,2015-09-02,,100000041,EUR,250.73,210.7,40.03,N,I,I
500000232,3,2015-08-20,26,2015-09-03,,100000037,EUR,10549.35,8865,1684.35,N,I,I
500000233,31,2015-08-21,3,2015-09-04,,100000043,EUR,195.16,164,31.16,C,P,D
500000234,3,2015-08-22,21,2015-09-05,,100000044,EUR,107100,90000,17100,X,I,I
500000235,1,2015-08-23,16,2015-09-06,,100000036,EUR,4415.73,3710.7,705.03,N,I,I
500000236,32,2015-08-24,18,2015-09-07,,100000044,EUR,325.94,273.9,52.04,N,I,I
500000237,30,2015-08-25,12,2015-09-08,,100000038,EUR,24220.07,20353,3867.07,C,P,D
500000238,7,2015-08-26,4,2015-09-09,,100000037,EUR,4499.87,3781.4,718.47,P,P,I
500000239,12,2015-08-27,24,2015-09-10,,100000037,EUR,2727.24,2291.8,435.44,P,I,D
500000240,23,2015-08-28,14,2015-09-11,,100000042,EUR,530.62,445.9,84.72,X,I,I
500000241,17,2015-08-29,30,2015-09-12,,100000041,EUR,803.25,675,128.25,P,I,D
500000242,31,2015-08-30,14,2015-09-13,,100000036,EUR,178.14,149.7,28.44,N,I,I
500000243,3,2015-08-31,30,2015-09-14,,100000038,EUR,871.55,732.4,139.15,X,I,I
500000244,17,2015-09-01,22,2015-09-15,,100000043,EUR,6543.8,5499,1044.8,X,I,I
500000245,17,2015-09-02,6,2015-09-16,,100000044,EUR,113032.74,94985.5,18047.24,X,I,I
500000246,26,2015-09-03,8,2015-09-17,,100000036,EUR,114.24,96,18.24,N,I,I
500000247,30,2015-09-04,6,2015-09-18,,100000042,EUR,521.22,438,83.22,P,I,D
500000248,19,2015-09-05,14,2015-09-19,,100000037,EUR,411.5,345.8,65.7,X,I,I
500000249,28,2015-09-06,6,2015-09-20,,100000038,EUR,11379.97,9563,1816.97,C,P,D
500000250,9,2015-09-07,3,2015-09-21,,100000000,EUR,26581.03,22337,4244.03,N,I,I
500000251,15,2015-09-08,19,2015-09-22,,100000002,EUR,9417.66,7914,1503.66,C,P,D
500000252,17,2015-09-09,10,2015-09-23,,100000005,EUR,5631.08,4732,899.08,N,I,I
500000253,23,2015-09-10,26,2015-09-24,,100000006,EUR,1405.39,1181,224.39,C,P,D
500000254,4,2015-09-11,27,2015-09-25,,100000006,EUR,761.24,639.7,121.54,X,I,I
